#{"t_start": 1780823610.8346288, "env_id": "None"}
r,l,t
0.864187,30,33.140203
2.776616,14,33.165167
-6.071828,24,33.204453
-5.663623,30,33.253798
-3.215093,23,33.288396
-0.04261,30,33.336781
0.703045,9,33.353307
1.33427,24,33.390487
-1.141702,13,33.41151
-6.572757,19,33.443079
1.454844,29,33.489418
-0.652003,22,33.522196
-17.903809,30,33.574205
-2.906011,22,33.609417
-5.960306,22,33.645509
0.561024,30,33.69007
-0.142148,27,33.732666
1.190295,30,33.781782
-2.144331,30,33.8267
-1.073365,30,33.873669
1.940523,30,33.918064
-0.003051,26,33.958895
-0.656094,28,34.003731
0.082892,30,34.047624
2.126622,17,34.073128
-0.361458,28,34.116207
-5.078908,27,34.159075
-4.989565,17,34.186931
-3.647278,16,34.212606
-1.445053,24,34.251631
-8.399039,30,34.301613
-1.302696,29,34.345935
1.383903,30,34.3922
2.877566,20,34.425586
-6.111724,30,34.471023
-4.644243,25,34.509242
1.523721,16,34.534227
-7.365805,20,34.566536
1.985016,18,34.595427
-2.850919,30,34.63984
-0.795853,28,34.681221
-2.187054,30,34.730099
-5.987435,24,34.767421
-0.363179,14,34.788992
2.205624,30,34.834294
1.104717,22,34.870029
2.934105,29,34.915448
-7.097996,29,34.959557
-0.757632,24,34.997237
-9.482585,30,35.043392
1.10235,25,35.084495
-1.036029,30,35.129611
0.299471,30,35.176904
2.792494,17,35.203671
-3.415076,21,35.23786
-2.423826,30,35.28382
-5.836366,30,35.330447
-1.132218,22,35.367333
2.051017,30,35.41286
-10.126255,30,35.460408
1.08763,8,35.473002
0.6413,30,35.518302
-1.176138,15,35.54248
-1.99261,26,35.581425
1.2766,30,35.62861
-6.722044,26,35.669148
-3.016036,29,35.714397
1.122878,15,35.736316
-0.32502,21,35.771899
0.097909,27,35.816459
-1.788249,12,35.834717
-0.183098,13,35.857194
2.483313,30,35.900922
2.065476,30,35.951016
-2.350363,22,35.985085
-2.413106,28,36.027301
-0.853775,22,36.062228
-1.118978,30,36.109509
-5.550752,29,36.152485
0.609844,22,36.188307
-3.258863,27,36.229514
0.522776,29,36.275803
2.607272,30,36.319206
0.088748,27,36.361129
-0.396901,26,36.403001
1.452744,30,36.450045
-1.878269,30,36.498409
1.048581,20,36.529438
-1.216397,15,36.55089
0.966694,19,36.583886
-0.492845,11,36.601137
-3.107085,30,36.645506
2.493985,27,36.687791
1.233096,22,36.724555
1.455843,19,36.752367
1.215801,16,36.777739
-4.327919,14,36.799549
-4.566504,30,36.847691
-6.222096,30,36.897093
-3.016745,30,36.941629
-0.315684,12,36.960309
2.713614,16,36.987394
-12.960118,30,37.034947
-1.033529,25,37.072514
-2.589843,24,37.107853
2.350878,21,37.14417
-3.477212,22,37.180932
-0.090055,16,37.204465
2.761616,19,37.235441
0.780283,22,37.270506
-2.553854,14,37.292959
-2.978202,30,37.33748
1.866263,20,37.369455
-0.304515,20,37.402166
2.268336,25,37.441343
-4.187524,16,37.466862
-1.23973,30,37.513838
-0.342064,30,37.561702
-2.039883,26,37.602515
-2.652403,14,37.624065
1.834154,12,37.642753
-1.271463,26,37.68771
-0.103085,30,37.734499
-3.591887,30,37.781189
-0.339127,16,37.80569
4.346428,24,37.845355
3.658376,26,37.88435
-9.197589,30,37.930299
-3.113001,25,37.966478
1.764054,17,37.993926
1.050073,30,38.04156
4.016361,26,38.080437
0.477741,30,38.127211
-6.074423,24,38.168618
2.096474,23,38.204462
-2.156268,20,38.23691
0.732634,24,38.273386
2.093349,29,38.319005
-3.04348,28,38.361774
0.32133,30,38.405569
-3.834235,17,38.433772
0.362348,30,38.484237
-4.77373,30,38.533363
-4.306625,30,38.578728
