episode,reward,length
503,-2.335452,23
504,0.576541,30
505,-6.840722,26
506,-5.164863,27
507,-0.452751,30
508,-0.541569,19
509,-5.790651,30
510,1.236048,26
511,-2.376495,24
512,3.288609,28
513,-1.236292,21
514,-6.406288,30
515,2.228534,19
516,-8.628375,30
517,-4.40886,20
518,-3.647025,30
519,-2.448156,30
520,-3.088354,30
521,1.944689,22
522,0.987504,30
523,-5.109939,30
524,-2.069897,15
525,-5.126289,29
526,-1.761099,25
527,-1.827736,19
528,-6.260835,20
529,-0.594368,30
530,0.358418,17
531,-4.066019,23
532,-9.980263,30
533,0.885316,22
534,-6.722007,24
535,-1.081211,30
536,-3.17809,19
537,-4.213035,30
538,-0.869963,30
539,-3.711023,30
540,-0.935921,30
541,-2.03718,30
542,-0.324021,8
543,1.821373,14
544,2.905325,27
545,-1.978969,15
546,2.287325,20
547,-3.456137,16
548,1.505966,13
549,0.379683,30
550,-2.898292,26
551,-1.067921,30
552,0.525949,13
553,-0.460478,17
554,0.251926,14
555,1.396215,18
556,-2.320757,20
557,0.419851,25
558,2.035266,17
559,-3.090712,29
560,0.856852,28
561,-9.596869,30
562,2.762318,21
563,-7.255068,30
564,2.452723,27
565,-5.472626,28
566,0.440737,26
567,0.594602,18
568,-3.347034,26
569,-1.529971,30
570,-2.650961,12
571,3.860047,22
572,-0.883169,17
573,-1.83075,25
574,-0.974745,30
575,-1.328459,26
576,-2.9356,16
577,-2.557926,30
578,-2.553573,17
579,1.840594,30
580,-2.025327,30
581,1.338329,30
582,-4.93689,20
583,2.484347,13
584,2.644114,20
585,3.164195,26
586,0.762894,9
587,0.766459,16
588,3.172452,21
589,-3.943937,30
590,-5.075357,29
591,2.541281,30
592,0.290298,18
593,-3.639233,30
594,0.362312,18
595,0.596799,10
596,-6.292285,30
597,-0.32401,19
598,2.663637,27
599,-2.435147,23
600,-1.524035,29
601,-3.431132,30
602,-9.878799,30
603,-1.657424,24
604,0.934963,17
605,-2.220642,17
606,-1.751287,30
607,-3.995903,24
608,0.525692,30
609,-2.509309,22
610,-3.617921,23
611,2.14181,19
612,-8.831344,14
613,-2.088204,30
614,2.16206,30
615,-1.521384,26
616,2.081293,30
617,-4.813024,30
618,-5.064285,20
619,0.048271,24
620,-0.781889,22
621,2.360206,28
622,-3.197137,25
623,1.179762,25
624,-6.300361,30
625,-0.667917,12
626,-3.954597,19
627,1.749647,22
628,0.347596,28
629,2.497001,13
630,-2.779014,20
631,-2.390465,30
632,1.455101,30
633,-0.935956,21
634,-1.59774,30
635,2.168234,25
636,2.078931,25
637,2.203229,30
638,1.998982,30
639,-2.15557,30
640,-1.388386,30
641,-4.590065,30
642,-1.073025,20
643,-2.7279,30
644,-6.922656,23
645,1.576278,18
646,0.108415,28
647,-0.767116,30
648,-6.105962,30
649,-0.528633,21
650,1.303748,25
651,1.79176,30
652,-0.512908,19
653,-4.569011,30
654,-5.738142,24
655,-2.897109,30
656,-13.483976,27
657,2.059402,30
658,-0.292658,15
659,-11.186872,22
660,-0.142805,26
661,3.64434,17
662,-2.784781,30
663,0.349243,30
664,2.6171,19
665,-1.668513,23
666,0.945543,13
667,-0.175933,30
668,2.378052,21
669,-8.417363,30
670,1.318303,17
671,-2.760007,26
672,2.156635,27
673,1.537241,19
674,-0.518239,20
675,-0.290162,30
676,1.306282,29
677,0.101016,30
678,-2.10113,28
679,2.476099,25
680,1.423832,30
681,-1.697972,30
682,-0.402364,30
683,0.23549,23
684,2.879054,30
685,-0.776085,14
686,-3.959419,28
687,-8.414817,30
688,-1.175801,22
689,1.903553,16
690,-4.893502,18
691,-0.870413,10
692,-2.913267,26
693,1.085119,22
694,-0.873593,18
695,-0.020449,30
696,-6.930949,25
697,-0.403549,14
698,2.135544,12
699,-2.18609,28
700,0.309455,12
701,2.095939,30
702,-1.255018,30
703,-2.774906,15
704,-4.820431,30
705,-5.166059,21
706,0.331698,21
707,-3.581921,21
708,-3.928576,28
709,0.049709,15
710,-4.537831,30
711,-1.584632,25
712,-1.350566,23
713,-1.506489,22
714,1.063479,9
715,-3.722489,21
716,-8.955915,30
717,-1.889874,21
718,-3.917718,21
719,2.910108,20
720,-0.643397,17
721,-1.124032,24
722,-0.954018,23
723,0.642906,25
724,-9.052934,30
725,0.696698,23
726,-3.347773,26
727,-4.186396,16
728,2.394526,19
729,-2.032833,30
730,-1.358642,30
731,-1.384757,30
732,-2.636096,20
733,-0.189816,30
734,1.569783,30
735,1.450636,30
736,2.320626,26
737,-1.384475,19
738,1.457388,24
739,0.705772,20
740,0.49785,19
741,0.926489,24
742,-5.569472,30
743,-2.264286,30
744,-0.150235,14
745,-4.634228,24
746,2.71088,28
747,-8.057035,22
748,-1.104063,26
749,0.131574,28
750,-0.150105,13
751,2.015422,30
752,-1.292261,24
753,-1.986505,26
754,1.430497,18
755,2.364268,15
756,0.914371,30
757,2.740537,15
758,0.775286,14
759,-12.5502,30
760,0.100369,17
761,-0.581769,30
762,1.32461,26
763,-6.868617,30
764,-5.312333,14
765,-15.058395,30
766,-0.093574,28
767,1.112026,30
768,3.169061,18
769,-0.167792,15
770,2.651672,11
771,-4.863533,22
772,0.082561,17
773,-1.340985,23
774,0.580563,12
775,0.878936,14
776,-0.069228,30
777,2.866954,27
778,0.948179,13
779,2.149055,25
780,-1.887308,23
781,0.872381,19
782,1.981425,26
783,1.964391,30
784,0.666877,18
785,0.402686,24
786,-3.355233,30
787,-11.808228,30
788,1.996655,20
789,-0.982615,25
790,-7.290276,18
791,2.343716,30
792,2.961872,23
793,-0.533672,27
794,-3.718182,30
795,1.259476,21
796,1.301408,30
797,-1.741244,30
798,-6.429036,27
799,-4.600117,25
800,-4.120834,30
801,1.076601,28
802,1.57888,18
803,1.094302,28
804,-7.771735,30
805,-0.455497,24
806,2.001125,19
807,-2.49444,30
808,-0.451351,28
809,-2.2659,16
810,1.006167,12
811,-2.698981,19
812,0.899115,30
813,-2.851208,27
814,0.475832,30
815,1.084279,23
816,1.783875,21
817,0.714205,30
818,2.597506,30
819,-2.058643,17
820,3.081972,30
821,2.190266,30
822,-0.957967,28
823,-0.935617,20
824,0.553219,22
825,-3.5105,17
826,-1.007514,25
827,-0.792289,30
828,-2.982762,23
