method,episode_reward,num_sensors,U_expected_undetected,V_void_probability,D_global_detection,D_min_worst_region_detection,U_max_worst_region_residual,D_mean_active_region_detection,risk_imbalance_cv,dominant_alpha_deg,dominant_p_km,sensors
one_step_greedy_sequential,2.718115405821026,3,7.185409808443425,0.0007575584904520809,0.2814590191556575,0.0,0.4717901613723312,0.27685956774853,0.4016881964790089,45.0,-1.1666666666666667,"[[7.4514, 4.8921], [7.4514, 6.8921], [7.4514, 8.8921]]"
one_step_greedy_sequential,3.6998805212461514,4,6.257471610379231,0.0019160842848817104,0.37425283896207684,1.099120794378905e-14,0.4438142486531413,0.3580211436979552,0.4031113866104013,45.0,-1.1666666666666667,"[[6.0456, 3.827], [6.0456, 5.827], [6.0456, 7.827], [6.0456, 9.827]]"
one_step_greedy_sequential,2.24337422931457,3,7.616992696176567,0.0004920192598623004,0.23830073038234334,0.0,0.50316579700058,0.2424032454064834,0.38757854390816737,45.0,-1.1666666666666667,"[[9.3149, 4.8967], [9.3149, 6.8967], [9.3149, 8.8967]]"
one_step_greedy_sequential,0.3900362990105136,1,9.372694273626806,8.501402852452467e-05,0.0627305726373194,0.0,0.5288721073400853,0.06221434808696662,0.17418156675920374,87.0,0.49999999999999956,"[[0.1286, 9.1611]]"
one_step_greedy_sequential,3.948612042571662,4,6.03135501062267,0.002402236716036787,0.396864498937733,3.1062794370040336e-07,0.3544708754439738,0.36999776236736,0.38187344688795627,92.99999999999999,0.833333333333333,"[[4.8946, 2.9911], [4.8946, 4.9911], [4.8946, 6.9911], [4.8946, 8.9911]]"
one_step_greedy_sequential,2.7193441702870147,3,7.184292749837981,0.0007584052005072991,0.28157072501620184,0.0,0.4454274984912814,0.27032417078019794,0.3714702316871414,99.0,-0.16666666666666696,"[[2.9693, 5.6441], [2.9693, 7.6441], [2.9693, 9.6441]]"
one_step_greedy_sequential,2.260994981643105,4,6.758397250364095,0.0011610886177544277,0.32416027496359046,0.0,0.4601376234667757,0.31154252399267934,0.4289201276332698,39.0,-0.8333333333333335,"[[2.0134, 0.2348], [2.0134, 2.2348], [2.0134, 4.2348], [2.0134, 5.2348]]"
one_step_greedy_sequential,2.82513328084794,4,6.638771953031461,0.0013086333206480145,0.33612280469685385,0.0,0.43835085113679134,0.32232707677772665,0.41793169806780767,87.0,0.49999999999999956,"[[2.2947, 4.6508], [2.2947, 6.6508], [2.2947, 8.6508], [2.2947, 10.0]]"
one_step_greedy_sequential,2.608633723000394,3,7.275761842987837,0.0006921126386425151,0.2724238157012163,0.0,0.46001551596592316,0.2646815326133262,0.38947085086972344,50.99999999999999,-1.1666666666666667,"[[3.52, 6.0265], [3.52, 8.0265], [3.52, 10.0]]"
one_step_greedy_sequential,2.38362176806362,4,7.230362376425108,0.0007242583614346353,0.2769637623574892,0.0,0.4880814803900309,0.28128458978126253,0.425591104430816,45.0,-1.1666666666666667,"[[9.5744, 4.428], [9.5744, 6.428], [9.5744, 8.428], [9.5744, 10.0]]"
one_step_greedy_sequential,2.979760433270884,4,6.912126235811188,0.0009956385818998981,0.3087873764188812,0.0,0.44231803894392124,0.3098657582932288,0.43260538024587003,39.0,-1.1666666666666667,"[[9.3101, 0.391], [9.3101, 2.391], [9.3101, 4.391], [9.3101, 6.391]]"
one_step_greedy_sequential,3.6075096905822286,4,6.341445092800875,0.0017617544976764453,0.3658554907199125,0.0,0.43738809970590264,0.3613885148157908,0.43752790952551185,45.0,-1.1666666666666667,"[[7.8498, 2.6384], [7.8498, 4.6384], [7.8498, 6.6384], [7.8498, 8.6384]]"
one_step_greedy_sequential,3.9262694943748757,4,6.051663452994905,0.0023539430742574078,0.39483365470050946,5.790923296444817e-13,0.3991972986664876,0.3675733593016976,0.38082651263916234,81.0,0.49999999999999956,"[[3.5627, 2.7668], [3.5627, 4.7668], [3.5627, 6.7668], [3.5627, 8.7668]]"
one_step_greedy_sequential,3.5891992819736527,4,6.259597129603385,0.0019120159361075365,0.3740402870396615,2.0590418259303078e-11,0.4038632905039421,0.3535343120398609,0.4390180221273535,45.0,-1.8333333333333335,"[[4.7686, 4.2293], [4.7686, 6.2293], [4.7686, 8.2293], [4.7686, 10.0]]"
one_step_greedy_sequential,1.2938251104966136,2,8.515643624597985,0.00020031015360345614,0.1484356375402015,0.0,0.5280564144422943,0.15390473351145334,0.307048528779868,45.0,-1.1666666666666667,"[[8.4408, 7.9324], [8.4408, 9.9324]]"
one_step_greedy_sequential,3.0198027348154213,4,6.875724143497973,0.0010325496537380303,0.3124275856502028,0.0,0.46411518617753683,0.3166143660699708,0.4467744075430921,45.0,-1.1666666666666667,"[[9.4306, 2.7085], [9.4306, 4.7085], [9.4306, 6.7085], [9.4306, 8.7085]]"
one_step_greedy_sequential,2.814822841077598,4,7.062069501441448,0.0008570026892059843,0.2937930498558552,0.0,0.45123389626242677,0.28850231305294144,0.3909231133757194,27.0,-0.8333333333333335,"[[0.2252, 3.7728], [0.2252, 5.7728], [0.2252, 7.7728], [0.2252, 9.7728]]"
